threshold,precision_pii,recall_pii,f1_pii,fn
0.27099999999999996,0.8599459627054081,0.8854784274377452,0.8725254477226254,2511
0.28099999999999997,0.8607757855494408,0.8845662683572015,0.872508884790139,2531
0.291,0.8616226314384842,0.8834716774605491,0.8724103765087372,2555
0.30099999999999993,0.8624164065983059,0.8822402627018152,0.8722157092614302,2582
0.31099999999999994,0.8629947288483873,0.8811000638511356,0.8719534211951616,2607
0.32099999999999995,0.8637604618896298,0.880187904770592,0.871896812668007,2627
0.33099999999999996,0.8643847292629312,0.8787740581957494,0.8715200036185178,2658
0.34099999999999997,0.8649377500112364,0.877679467299097,0.871262026032824,2682
0.3509999999999999,0.8655257824814231,0.8765392684484175,0.8709977113593619,2707
0.36099999999999993,0.8661250282103362,0.875171029827602,0.8706245321113405,2737
0.37099999999999994,0.8668386045880276,0.8737571832527593,0.8702841438208372,2768
0.38099999999999995,0.8675130355928361,0.8726169844020797,0.870057524840272,2793
0.39099999999999996,0.8678988238499614,0.8716592173675088,0.8697749561972375,2814
0.4009999999999999,0.8687539819787021,0.8706558423789109,0.8697038724373576,2836
0.4109999999999999,0.8693510876008937,0.8694700355742041,0.869410557519097,2862
0.42099999999999993,0.8701292768717738,0.8687403083097692,0.8694342378528882,2878
0.43099999999999994,0.870982510759088,0.8676457174131168,0.8693109120818863,2902
0.44099999999999995,0.8715419553149516,0.8664143026543829,0.8689705646913524,2929
0.45099999999999996,0.8722309035756963,0.8655477515278664,0.8688764765131398,2948
0.4609999999999999,0.8727950997098513,0.8643163367691326,0.8685350260088452,2975
0.4709999999999999,0.8734142178345712,0.8634953935966433,0.8684264844162098,2993
0.4809999999999999,0.8741391264155304,0.8625376265620724,0.8682996258120796,3014
0.49099999999999994,0.8746527134654566,0.8614886436194472,0.8680207711042691,3037
0.5009999999999999,0.8754813268383206,0.860667700446958,0.8680113152871369,3055
0.5109999999999999,0.875894433602825,0.8597555413664143,0.8677499539679617,3075
0.5209999999999999,0.8766536239985094,0.8583416947915716,0.8674010231829286,3106
0.5309999999999999,0.8771405907330503,0.8573383198029736,0.8671264155730332,3128
0.5409999999999999,0.8778640231927429,0.8562437289063213,0.8669190986331733,3152
0.5509999999999999,0.879013734589603,0.8552403539177232,0.8669640999560785,3174
0.5609999999999999,0.8799549126432463,0.8545106266532884,0.8670461381831644,3190
0.571,0.880758552538704,0.8536440755267719,0.8669893693401579,3209
0.581,0.8810275748291303,0.8524582687220651,0.8665074986671611,3235
0.5909999999999999,0.8815975828533661,0.851682933503603,0.8663821100491788,3252
0.6009999999999999,0.882166508987701,0.8505427346529235,0.8660660381739655,3277
0.6109999999999999,0.8827850981135653,0.8494481437562711,0.865795834882856,3301
0.6209999999999999,0.8838513449291893,0.8482167289975372,0.8656674734686278,3328
0.6309999999999999,0.8844596847168643,0.8469853142388033,0.8653169629336254,3355
0.6409999999999999,0.8855369928400955,0.8461187631122867,0.8653792331374195,3374
0.6509999999999999,0.8863690732500837,0.84493295630758,0.8651551591285871,3400
0.6609999999999999,0.8873273215656178,0.8437015415488461,0.8649646981811381,3427
0.6709999999999999,0.8884293546215254,0.8425613426981665,0.8648876404494382,3452
0.6809999999999999,0.8888139512477117,0.8414667518015142,0.8644925499016025,3476
0.691,0.8895702559150169,0.8402353370427803,0.864199268224036,3503
0.7009999999999998,0.8898887276245767,0.838912706375992,0.8636491689360504,3532
0.7109999999999999,0.8902515875708953,0.8375900757092036,0.8631183174715075,3561
0.7209999999999999,0.8911521633446767,0.8360394052722795,0.8627164909638554,3595
0.7309999999999999,0.8916654488771981,0.8348535984675728,0.8623248145094806,3621
0.7409999999999999,0.8923565323565323,0.8333029280306485,0.8618192967147001,3655
0.7509999999999999,0.8934940231236528,0.8317978655477515,0.8615428220511124,3688
0.7609999999999999,0.8947316689600944,0.8303384110188817,0.8613332071722571,3720
0.7709999999999999,0.8953282081608516,0.8286053087658488,0.8606755412383343,3758
0.7809999999999999,0.8960762996639652,0.8270090303748974,0.8601584365068071,3793
0.7909999999999999,0.896985921078723,0.8252303201678373,0.8596132832913678,3832
0.8009999999999998,0.8984476067270375,0.8235428258688315,0.8593660765276985,3869
0.8109999999999998,0.8993157868451281,0.8212624281674724,0.8585186774416553,3919
0.8209999999999998,0.9000651204728748,0.8194837179604123,0.8578863186039294,3958
0.8309999999999998,0.9013730322385958,0.817385752075162,0.8573273697050874,4004
0.8409999999999999,0.9019073569482289,0.8151965702818571,0.8563625910310464,4052
0.8509999999999999,0.9032993766154782,0.8128705646264709,0.8557025229853326,4103
0.8609999999999999,0.9043739497937777,0.8100428714767856,0.854613256345483,4165
0.8709999999999999,0.9059719807751304,0.8081273374076439,0.8542570629640344,4207
0.8809999999999999,0.9074359765504474,0.8047979567636596,0.8530407038576815,4280
0.8909999999999999,0.9090204187128457,0.8020158715680015,0.8521722274720748,4341
0.9009999999999999,0.9099703541894211,0.7979567636595822,0.8502903798022016,4430
0.9109999999999998,0.9117185045554508,0.794125695521299,0.8488689547581904,4514
0.9209999999999998,0.9134650856389986,0.7905226671531516,0.8475587393951248,4593
0.9309999999999998,0.9148755506023457,0.7862355194745964,0.8456915793862985,4687
0.9409999999999998,0.9175296453291839,0.779896013864818,0.8431329043709784,4826
0.9509999999999998,0.9200564052500271,0.7736933321171212,0.840550986027153,4962
