model,params,key,C,l1_ratio,accuracy,precision,recall,f1,time_min,alpha,fit_prior,norm,loss
LinearSVM,{'C': 0.1},"LinearSVM|{""C"": 0.1}",0.1,,0.8229057832954336,0.8552151553777856,0.8873939615068868,0.8710074534995635,0.15457030581649936,,,,
LinearSVM,{'C': 0.25},"LinearSVM|{""C"": 0.25}",0.25,,0.827177186405261,0.8630088180279682,0.8837909331387394,0.8732762505633168,0.22591732201666068,,,,
LinearSVM,{'C': 0.5},"LinearSVM|{""C"": 0.5}",0.5,,0.8273308339991395,0.8656769969054133,0.8803247286326735,0.8729394206634556,0.3049298342833936,,,,
LinearSVM,{'C': 0.75},"LinearSVM|{""C"": 0.75}",0.75,,0.8273308339991395,0.8668286318441535,0.8787284502417222,0.8727379792992549,0.3288351116165965,,,,
LinearSVM,{'C': 0.8},"LinearSVM|{""C"": 0.8}",0.8,,0.8273001044803638,0.8670207976951472,0.8784091945635318,0.8726778432260988,0.33986801276672246,,,,
LinearSVM,{'C': 0.9},"LinearSVM|{""C"": 0.9}",0.9,,0.8270542683301579,0.867237494366832,0.877679467299097,0.8724272372835252,0.3636027603332574,,,,
LinearSVM,{'C': 1},"LinearSVM|{""C"": 1}",1.0,,0.8262860303607645,0.8669884082810879,0.8766760923104989,0.8718053382316258,0.4867404426668751,,,,
LinearSVM,{'C': 1.1},"LinearSVM|{""C"": 1.1}",1.1,,0.8254256038350439,0.8664230613073488,0.875946365046064,0.8711586873199828,0.41687286171678956,,,,
LinearSVM,{'C': 1.2},"LinearSVM|{""C"": 1.2}",1.2,,0.8248417429783049,0.8663415515217195,0.8750342059655204,0.8706661826102741,0.3252355009666644,,,,
LinearSVM,{'C': 1.25},"LinearSVM|{""C"": 1.25}",1.25,,0.8248724724970807,0.8664799674782059,0.8748973821034388,0.870668330874844,0.3155518987000202,,,,
LinearSVM,{'C': 1.4},"LinearSVM|{""C"": 1.4}",1.4,,0.8242578821215659,0.866160589218743,0.8742588707470583,0.8701908890755158,0.4427578607166652,,,,
LinearSVM,{'C': 1.5},"LinearSVM|{""C"": 1.5}",1.5,,0.8241042345276873,0.865998012108069,0.8742132627930311,0.8700862460281434,0.4161350267168018,,,,
LinearSVM,{'C': 1.6},"LinearSVM|{""C"": 1.6}",1.6,,0.823674021264827,0.8655826558265582,0.8740308309769224,0.8697862297462896,0.27797875429993535,,,,
LinearSVM,{'C': 1.8},"LinearSVM|{""C"": 1.8}",1.8,,0.8228135947391064,0.8652472651658982,0.8729818480342972,0.8690973483472575,0.468268132883289,,,,
LinearSVM,{'C': 2},"LinearSVM|{""C"": 2}",2.0,,0.8228135947391064,0.8652472651658982,0.8729818480342972,0.8690973483472575,0.5173554265500571,,,,
LinearSVM Loss Check,"{'C': 0.01, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.01, ""loss"": ""hinge""}",0.01,,0.6880339253887284,0.6839342623258139,0.9983581136550215,0.8117629607654083,0.008647322800000742,,,,hinge
LinearSVM Loss Check,"{'C': 0.01, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.01, ""loss"": ""squared_hinge""}",0.01,,0.7824350070677893,0.8028806920189326,0.8974277113928669,0.8475255200930353,0.07390607889998743,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.1, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.1, ""loss"": ""hinge""}",0.1,,0.7997971851760801,0.8283547108705842,0.8865730183343975,0.8564756680545459,0.01127188639996651,,,,hinge
LinearSVM Loss Check,"{'C': 0.1, 'loss': 'squared_hinge'}","LinearSVM Loss Check|{""C"": 0.1, ""loss"": ""squared_hinge""}",0.1,,0.8229057832954336,0.8552151553777856,0.8873939615068868,0.8710074534995635,0.1538225505166338,,,,squared_hinge
LinearSVM Loss Check,"{'C': 0.25, 'loss': 'hinge'}","LinearSVM Loss Check|{""C"": 0.25, ""loss"": ""hinge""}",0.25,,0.8190338639296909,0.851303395399781,0.8862081547021801,0.8684051753033452,0.026495096516494718,,,,hinge
